 Gtime,       Gdur,    Gperc, G,    Grx1,   Gry1,   Grz1,       
 0003.056641, 000981,  0.098, _,    -00037, 000081, -00039,    
 0003.066406, 000981,  0.098, _,    -00036, 000076, -00035,    
 0003.076172, 000981,  0.098, _,    -00038, 000065, -00020,    
 0003.085938, 000981,  0.098, _,    -00035, 000079, -00031,    
 0003.095703, 000981,  0.098, _,    -00029, 000073, -00034,    
 0003.105469, 000982,  0.098, _,    -00032, 000071, -00037,    
 0003.115234, 000980,  0.098, _,    -00033, 000068, -00033,    
 0003.125000, 000981,  0.098, _,    -00037, 000078, -00029,    
 0003.136719, 000981,  0.098, _,    -00033, 000072, -00039,    
 0003.146484, 000981,  0.098, _,    -00033, 000076, -00033,    
 0003.156250, 000982,  0.098, _,    -00034, 000076, -00034,    
 0003.166016, 000982,  0.098, _,    -00036, 000075, -00034,    
 0003.175781, 000982,  0.098, _,    -00036, 000072, -00034,    
 0003.185547, 000982,  0.098, _,    -00042, 000074, -00028,    
 0003.195312, 000980,  0.098, _,    -00032, 000075, -00029,    
 0003.205078, 000982,  0.098, _,    -00034, 000066, -00029,    
 0003.216797, 000982,  0.098, _,    -00027, 000076, -00031,    
 0003.226562, 000980,  0.098, _,    -00035, 000080, -00032,    
 0003.236328, 000981,  0.098, _,    -00037, 000076, -00036,    
 0003.246094, 000982,  0.098, _,    -00029, 000070, -00031,    
 0003.255859, 000982,  0.098, _,    -00032, 000066, -00041,    
 0003.265625, 000991,  0.099, _,    -00032, 000078, -00031,    
 0003.275391, 000996,  0.100, _,    -00038, 000068, -00037,    
 0003.285156, 000987,  0.099, _,    -00038, 000079, -00032,    
 0003.296875, 000984,  0.098, _,    -00025, 000071, -00032,    
 0003.306641, 000985,  0.099, _,    -00030, 000078, -00037,    
 0003.316406, 000981,  0.098, _,    -00033, 000080, -00038,    
 0003.326172, 000981,  0.098, _,    -00044, 000078, -00036,    
 0003.335938, 000981,  0.098, _,    -00034, 000074, -00034,    
 0003.345703, 000983,  0.098, _,    -00037, 000070, -00040,    
 0003.355469, 000981,  0.098, _,    -00028, 000081, -00035,    
 0003.365234, 000980,  0.098, _,    -00026, 000070, -00026,    
 0003.375000, 000984,  0.098, _,    -00038, 000073, -00025,    
 0003.386719, 000981,  0.098, _,    -00030, 000077, -00032,    
 0003.396484, 000980,  0.098, _,    -00032, 000068, -00027,    
 0003.406250, 000980,  0.098, _,    -00029, 000075, -00034,    
 0003.416016, 000979,  0.098, _,    -00038, 000078, -00036,    
 0003.425781, 000981,  0.098, _,    -00028, 000076, -00038,    
 0003.435547, 000982,  0.098, _,    -00039, 000073, -00035,    
 0003.445312, 000981,  0.098, _,    -00029, 000077, -00041,    
 0003.455078, 000982,  0.098, _,    -00030, 000072, -00032,    
 0003.466797, 000980,  0.098, _,    -00033, 000071, -00031,    
 0003.476562, 000980,  0.098, _,    -00036, 000082, -00034,    
 0003.486328, 000982,  0.098, _,    -00032, 000072, -00040,    
 0003.496094, 000984,  0.098, _,    -00041, 000069, -00031,    
 0003.505859, 000983,  0.098, _,    -00033, 000068, -00032,    
 0003.515625, 000980,  0.098, _,    -00034, 000083, -00032,    
 0003.525391, 000981,  0.098, _,    -00034, 000075, -00033,    
 0003.535156, 000980,  0.098, _,    -00043, 000077, -00027,    
 0003.546875, 000980,  0.098, _,    -00035, 000070, -00040,    
 0003.556641, 000982,  0.098, _,    -00030, 000080, -00029,    
 0003.566406, 000982,  0.098, _,    -00030, 000076, -00034,    
 0003.576172, 000980,  0.098, _,    -00042, 000079, -00041,    
 0003.585938, 000980,  0.098, _,    -00038, 000080, -00039,    
 0003.595703, 000980,  0.098, _,    -00035, 000078, -00035,    
 0003.605469, 000982,  0.098, _,    -00030, 000078, -00030,    
 0003.615234, 000981,  0.098, _,    -00040, 000081, -00037,    
 0003.625000, 000981,  0.098, _,    -00034, 000073, -00032,    
 0003.636719, 000981,  0.098, _,    -00036, 000069, -00036,    
 0003.646484, 000981,  0.098, _,    -00032, 000066, -00037,    
 0003.656250, 000983,  0.098, _,    -00029, 000082, -00029,    
 0003.666016, 000978,  0.098, _,    -00032, 000078, -00026,    
 0003.675781, 000982,  0.098, _,    -00030, 000070, -00039,    
 0003.685547, 000980,  0.098, _,    -00026, 000079, -00031,    
 0003.695312, 000982,  0.098, _,    -00036, 000078, -00037,    
 0003.705078, 000980,  0.098, _,    -00036, 000066, -00038,    
 0003.716797, 000980,  0.098, _,    -00035, 000078, -00030,    
 0003.726562, 000981,  0.098, _,    -00035, 000081, -00028,    
 0003.736328, 000983,  0.098, _,    -00032, 000074, -00031,    
 0003.746094, 000980,  0.098, _,    -00037, 000080, -00028,    
 0003.755859, 000982,  0.098, _,    -00030, 000082, -00027,    
 0003.765625, 000982,  0.098, _,    -00035, 000078, -00036,    
 0003.775391, 000980,  0.098, _,    -00036, 000081, -00030,    
 0003.785156, 000983,  0.098, _,    -00038, 000075, -00036,    
 0003.796875, 000980,  0.098, _,    -00034, 000079, -00040,    
