 Gtime,       Gdur,    Gperc, G,    Grx1,   Gry1,   Grz1,      Gax1,      Gay1,      Gaz1   
 0003.179138, 000991,  0.099, _,    -00041, 000080, -00030,    -00036.06, 000076.16, -00033.84,    
 0003.189148, 000993,  0.099, _,    -00037, 000076, -00031,    -00036.41, 000076.47, -00033.23,    
 0003.199158, 000991,  0.099, _,    -00040, 000071, -00036,    -00037.06, 000075.11, -00033.58,    
 0003.209137, 000990,  0.099, _,    -00028, 000077, -00029,    -00035.41, 000075.50, -00032.86,    
 0003.219147, 000998,  0.100, _,    -00040, 000074, -00039,    -00035.80, 000075.17, -00033.66,    
 0003.229156, 000993,  0.099, _,    -00037, 000074, -00036,    -00036.64, 000074.97, -00034.58,    
 0003.239136, 000991,  0.099, _,    -00040, 000076, -00034,    -00036.98, 000075.12, -00034.22,    
 0003.249146, 000992,  0.099, _,    -00038, 000080, -00038,    -00037.70, 000076.16, -00035.27,    
 0003.259155, 000991,  0.099, _,    -00043, 000068, -00031,    -00038.50, 000074.75, -00034.36,    
 0003.269135, 000992,  0.099, _,    -00038, 000074, -00032,    -00038.91, 000074.08, -00033.77,    
 0003.279144, 001014,  0.101, _,    -00037, 000078, -00030,    -00038.14, 000075.19, -00032.97,    
 0003.289154, 000994,  0.099, _,    -00036, 000076, -00025,    -00038.00, 000075.22, -00031.17,    
 0003.299133, 000993,  0.099, _,    -00035, 000070, -00036,    -00037.06, 000074.27, -00031.98,    
 0003.309143, 000991,  0.099, _,    -00027, 000070, -00031,    -00035.17, 000073.03, -00032.14,    
 0003.319153, 000991,  0.099, _,    -00039, 000080, -00035,    -00035.41, 000074.58, -00032.36,    
 0003.329132, 000994,  0.099, _,    -00037, 000078, -00040,    -00036.33, 000075.47, -00034.28,    
 0003.339142, 000995,  0.100, _,    -00035, 000075, -00028,    -00035.67, 000075.33, -00032.98,    
 0003.349152, 000991,  0.099, _,    -00035, 000069, -00037,    -00035.73, 000074.03, -00033.48,    
 0003.359131, 000990,  0.099, _,    -00033, 000082, -00034,    -00034.91, 000075.42, -00033.95,    
 0003.369141, 001420,  0.142, _,    -00036, 000080, -00021,    -00035.16, 000076.84, -00031.00,    
 0003.379150, 000992,  0.099, _,    -00037, 000078, -00035,    -00035.44, 000076.89, -00031.53,    
 0003.389130, 000995,  0.100, _,    -00033, 000069, -00037,    -00034.95, 000075.55, -00033.05,    
 0003.399139, 000992,  0.099, _,    -00037, 000084, -00037,    -00035.20, 000076.77, -00033.78,    
 0003.409149, 000990,  0.099, _,    -00035, 000077, -00031,    -00035.39, 000077.61, -00033.55,    
 0003.419159, 000998,  0.100, _,    -00038, 000080, -00037,    -00035.75, 000077.56, -00033.92,    
 0003.429138, 000994,  0.099, _,    -00036, 000080, -00031,    -00036.11, 000078.67, -00033.72,    
 0003.439148, 000990,  0.099, _,    -00035, 000077, -00033,    -00035.69, 000077.98, -00033.19,    
 0003.449158, 000990,  0.099, _,    -00032, 000078, -00036,    -00035.02, 000078.27, -00033.94,    
 0003.459137, 000991,  0.099, _,    -00041, 000071, -00036,    -00036.03, 000076.62, -00034.27,    
 0003.469147, 000990,  0.099, _,    -00028, 000078, -00035,    -00034.81, 000076.81, -00034.66,    
 0003.479156, 000991,  0.099, _,    -00039, 000074, -00041,    -00035.03, 000076.38, -00035.81,    
 0003.489136, 000999,  0.100, _,    -00036, 000073, -00029,    -00035.91, 000075.42, -00034.92,    
 0003.499146, 001006,  0.101, _,    -00030, 000077, -00041,    -00034.19, 000075.77, -00035.62,    
 0003.509155, 000998,  0.100, _,    -00034, 000073, -00025,    -00034.34, 000075.27, -00034.12,    
 0003.519135, 000992,  0.099, _,    -00027, 000070, -00039,    -00032.66, 000074.02, -00034.12,    
 0003.529144, 000993,  0.099, _,    -00039, 000069, -00030,    -00033.75, 000072.80, -00034.28,    
 0003.539154, 000994,  0.099, _,    -00037, 000065, -00032,    -00034.75, 000071.05, -00032.88,    
 0003.549133, 000991,  0.099, _,    -00042, 000077, -00031,    -00036.02, 000071.91, -00033.16,    
 0003.559143, 000990,  0.099, _,    -00038, 000076, -00034,    -00036.84, 000073.11, -00032.73,    
 0003.569153, 000989,  0.099, _,    -00039, 000072, -00030,    -00037.09, 000072.62, -00032.66,    
