 Atime,       Adur,    Aperc, A,    Arx1,   Ary1,   Arz1,      Aax1,      Aay1,      Aaz1,   
 0003.191803, 000988,  0.099, _,    -00154, -00021, 008397,    -00199.67, -00016.44, 008367.81,    
 0003.201782, 000990,  0.099, _,    -00143, -00012, 008366,    -00184.61, -00016.91, 008368.91,    
 0003.211792, 000991,  0.099, _,    -00191, 000030, 008278,    -00185.78, -00006.83, 008349.56,    
 0003.221802, 000993,  0.099, _,    -00143, 000009, 008327,    -00176.95, -00002.78, 008341.94,    
 0003.231812, 000993,  0.099, _,    -00189, 000019, 008351,    -00177.31, 000001.77, 008344.38,    
 0003.241791, 000990,  0.099, _,    -00197, -00002, 008338,    -00182.77, 000002.22, 008341.84,    
 0003.251801, 000989,  0.099, _,    -00169, -00082, 008404,    -00179.38, -00015.56, 008354.58,    
 0003.261810, 000988,  0.099, _,    -00165, 000006, 008338,    -00176.20, -00013.20, 008353.52,    
 0003.271790, 000991,  0.099, _,    -00180, -00016, 008345,    -00175.91, -00011.03, 008350.14,    
 0003.281799, 001001,  0.100, _,    -00223, -00029, 008343,    -00185.58, -00017.11, 008350.45,    
 0003.291809, 000993,  0.099, _,    -00173, -00005, 008325,    -00183.95, -00013.34, 008343.11,    
 0003.301788, 000991,  0.099, _,    -00198, 000008, 008352,    -00185.00, -00009.45, 008344.61,    
 0003.311798, 000992,  0.099, _,    -00220, -00030, 008309,    -00194.11, -00012.28, 008337.16,    
 0003.321808, 000991,  0.099, _,    -00151, -00010, 008328,    -00186.16, -00013.69, 008333.53,    
 0003.331787, 000992,  0.099, _,    -00168, 000005, 008343,    -00180.78, -00009.08, 008336.91,    
 0003.341797, 000992,  0.099, _,    -00218, -00029, 008335,    -00189.12, -00013.86, 008336.44,    
 0003.351807, 000990,  0.099, _,    -00164, -00022, 008377,    -00185.19, -00015.92, 008344.39,    
 0003.361786, 000991,  0.099, _,    -00208, 000002, 008358,    -00188.00, -00012.64, 008348.64,    
 0003.371796, 000996,  0.100, _,    -00223, 000007, 008317,    -00197.58, -00007.19, 008341.06,    
 0003.381805, 000990,  0.099, _,    -00204, 000000, 008364,    -00198.67, -00005.44, 008344.94,    
 0003.391785, 000990,  0.099, _,    -00209, 000001, 008371,    -00201.81, -00004.11, 008351.84,    
