 Mtime,       Mdur,    Mperc, M,    Mrx1, Mry1, Mrz1,     
 0008.078125, 002028,  0.101, _,    0104, 0146, -040,    
 0008.097656, 002027,  0.101, _,    0103, 0152, -039,    
 0008.117188, 002026,  0.101, _,    0105, 0152, -036,    
 0008.136719, 002026,  0.101, _,    0103, 0154, -036,    
 0008.158203, 002029,  0.101, _,    0105, 0140, -036,    
 0008.177734, 002028,  0.101, _,    0111, 0148, -038,    
 0008.197266, 002025,  0.101, _,    0105, 0149, -036,    
 0008.216797, 002028,  0.101, _,    0105, 0149, -039,    
 0008.238281, 002026,  0.101, _,    0099, 0146, -033,    
 0008.257812, 002025,  0.101, _,    0105, 0149, -041,    
 0008.277344, 002097,  0.105, _,    0104, 0150, -030,    
 0008.296875, 002031,  0.102, _,    0106, 0150, -035,    
 0008.316406, 002032,  0.102, _,    0114, 0147, -032,    
 0008.337891, 002025,  0.101, _,    0107, 0152, -041,    
 0008.357422, 002028,  0.101, _,    0104, 0146, -035,    
 0008.376953, 002027,  0.101, _,    0103, 0147, -032,    
 0008.396484, 002027,  0.101, _,    0109, 0154, -039,    
 0008.417969, 002028,  0.101, _,    0104, 0150, -035,    
 0008.437500, 002026,  0.101, _,    0103, 0152, -036,    
 0008.457031, 002027,  0.101, _,    0108, 0146, -038,    
 0008.476562, 002027,  0.101, _,    0105, 0149, -044,    
 0008.498047, 002027,  0.101, _,    0108, 0148, -038,    
 0008.517578, 002028,  0.101, _,    0101, 0144, -035,    
 0008.537109, 002045,  0.102, _,    0106, 0146, -035,    
 0008.556641, 002024,  0.101, _,    0106, 0146, -038,    
 0008.578125, 002026,  0.101, _,    0099, 0148, -038,    
 0008.597656, 002028,  0.101, _,    0106, 0148, -038,    
 0008.617188, 002026,  0.101, _,    0104, 0148, -033,    
 0008.636719, 002024,  0.101, _,    0104, 0148, -035,    
 0008.658203, 002026,  0.101, _,    0111, 0150, -040,    
 0008.677734, 002027,  0.101, _,    0104, 0144, -035,    
 0008.697266, 002023,  0.101, _,    0106, 0146, -038,    
 0008.716797, 002029,  0.101, _,    0111, 0150, -033,    
 0008.738281, 002025,  0.101, _,    0112, 0149, -036,    
 0008.757812, 002025,  0.101, _,    0101, 0146, -038,    
 0008.777344, 002086,  0.104, _,    0100, 0145, -044,    
 0008.796875, 002034,  0.102, _,    0106, 0153, -042,    
 0008.816406, 002027,  0.101, _,    0107, 0145, -044,    
 0008.837891, 002025,  0.101, _,    0106, 0146, -030,    
 0008.857422, 002026,  0.101, _,    0104, 0157, -040,    
 0008.876953, 002027,  0.101, _,    0109, 0142, -034,    
 0008.896484, 002025,  0.101, _,    0106, 0141, -038,    
 0008.917969, 002028,  0.101, _,    0105, 0154, -036,    
 0008.937500, 002027,  0.101, _,    0106, 0150, -038,    
