 Gtime,       Gdur,    Gperc, G,    Grx1,   Gry1,   Grz1,    Gax1,   Gay1,   Gaz1
 0003.003448, 001003,  0.100, _,    -00039, 000072, -00029,    -00037.50, 000073.50, -00030.86,    
 0003.013458, 000989,  0.099, _,    -00041, 000081, -00030,    -00038.42, 000074.81, -00030.55,    
 0003.023438, 000996,  0.100, _,    -00040, 000072, -00034,    -00038.69, 000074.75, -00031.22,    
 0003.033447, 000994,  0.099, _,    -00039, 000080, -00035,    -00038.89, 000075.30, -00032.00,    
 0003.043457, 000988,  0.099, _,    -00036, 000069, -00035,    -00038.25, 000074.64, -00032.61,    
 0003.053436, 000986,  0.099, _,    -00038, 000078, -00029,    -00038.19, 000074.55, -00031.92,    
 0003.063446, 000987,  0.099, _,    -00035, 000074, -00036,    -00037.53, 000075.19, -00032.58,    
 0003.073456, 000986,  0.099, _,    -00038, 000078, -00036,    -00037.47, 000075.17, -00033.59,    
 0003.083435, 000986,  0.099, _,    -00037, 000076, -00026,    -00037.47, 000075.94, -00031.94,    
 0003.093445, 000987,  0.099, _,    -00028, 000077, -00035,    -00035.41, 000075.77, -00032.36,    
 0003.103455, 000986,  0.099, _,    -00037, 000085, -00037,    -00035.50, 000078.06, -00033.62,    
 0003.113464, 000986,  0.099, _,    -00035, 000071, -00039,    -00035.64, 000076.72, -00034.77,    
 0003.123444, 000986,  0.099, _,    -00043, 000073, -00032,    -00036.86, 000075.70, -00034.50,    
 0003.133453, 000987,  0.099, _,    -00034, 000080, -00033,    -00036.69, 000076.62, -00033.92,    
 0003.143463, 000986,  0.099, _,    -00033, 000079, -00033,    -00035.41, 000077.25, -00033.94,    
 0003.153442, 000984,  0.098, _,    -00034, 000077, -00030,    -00035.34, 000077.22, -00032.97,    
 0003.163452, 000987,  0.099, _,    -00033, 000076, -00018,    -00034.61, 000076.98, -00029.88,    
