 Mtime,       Mdur,    Mperc, M,    Mrx1, Mry1, Mrz1,    Max1,    May1,    Maz1,       Mcx1,    Mcy1,    Mcz1,   
 0016.446548, 000396,  0.020, _,    0089, 0170, -039,    0085.31, 0171.28, -036.67,    -0.3445, -0.3144, 00.7689,    
 0016.466553, 000394,  0.020, _,    0088, 0171, -038,    0085.91, 0171.12, -036.77,    -0.3478, -0.3135, 00.7684,    
 0016.486557, 000394,  0.020, _,    0085, 0178, -042,    0085.78, 0172.58, -038.03,    -0.3471, -0.3217, 00.7612,    
 0016.506561, 000403,  0.020, _,    0085, 0169, -035,    0085.55, 0172.09, -037.47,    -0.3458, -0.3190, 00.7644,    
 0016.526550, 000397,  0.020, _,    0083, 0169, -042,    0085.12, 0171.17, -038.30,    -0.3434, -0.3138, 00.7597,    
 0016.546555, 000396,  0.020, _,    0083, 0167, -035,    0084.56, 0170.44, -037.89,    -0.3402, -0.3097, 00.7620,    
 0016.566559, 000395,  0.020, _,    0085, 0164, -038,    0084.70, 0168.91, -037.58,    -0.3410, -0.3012, 00.7638,    
 0016.586548, 000393,  0.020, _,    0081, 0171, -040,    0083.95, 0169.30, -038.38,    -0.3368, -0.3033, 00.7592,    
 0016.606552, 000404,  0.020, _,    0090, 0174, -035,    0085.06, 0170.36, -037.59,    -0.3430, -0.3093, 00.7637,    
 0016.626556, 000395,  0.020, _,    0086, 0172, -034,    0085.62, 0170.77, -036.91,    -0.3462, -0.3115, 00.7676,    
 0016.646561, 000394,  0.020, _,    0085, 0174, -042,    0085.23, 0171.39, -037.83,    -0.3440, -0.3150, 00.7623,    
 0016.666550, 000399,  0.020, _,    0096, 0168, -036,    0087.59, 0170.81, -037.78,    -0.3573, -0.3118, 00.7626,    
 0016.686554, 000396,  0.020, _,    0081, 0176, -038,    0086.52, 0171.61, -037.47,    -0.3512, -0.3163, 00.7644,    
 0016.706558, 000401,  0.020, _,    0081, 0171, -035,    0084.91, 0171.89, -037.23,    -0.3422, -0.3178, 00.7657,    
 0016.726562, 000397,  0.020, _,    0084, 0165, -044,    0084.89, 0170.08, -038.23,    -0.3421, -0.3077, 00.7600,    
 0016.746552, 000394,  0.020, _,    0085, 0178, -040,    0084.75, 0171.70, -039.16,    -0.3413, -0.3168, 00.7548,    
 0016.766556, 000397,  0.020, _,    0085, 0171, -035,    0084.97, 0171.94, -037.94,    -0.3425, -0.3181, 00.7617,    
 0016.786560, 000395,  0.020, _,    0086, 0172, -034,    0085.09, 0171.73, -037.25,    -0.3432, -0.3170, 00.7656,    
 0016.806564, 000402,  0.020, _,    0085, 0169, -030,    0085.19, 0171.47, -035.56,    -0.3438, -0.3155, 00.7752,    
 0016.826553, 000405,  0.020, _,    0089, 0172, -039,    0085.92, 0171.30, -036.14,    -0.3479, -0.3145, 00.7719,    
 0016.846558, 000395,  0.020, _,    0082, 0175, -036,    0085.33, 0172.28, -036.30,    -0.3445, -0.3200, 00.7710,    
 0016.866547, 000397,  0.020, _,    0086, 0175, -034,    0085.05, 0172.78, -035.67,    -0.3430, -0.3228, 00.7746,    
 0016.886551, 000394,  0.020, _,    0080, 0170, -041,    0084.34, 0172.33, -036.75,    -0.3390, -0.3203, 00.7685,    
 0016.906555, 000399,  0.020, _,    0084, 0170, -032,    0083.73, 0171.67, -035.97,    -0.3356, -0.3166, 00.7729,    
 0016.926559, 000396,  0.020, _,    0089, 0170, -036,    0085.16, 0171.44, -035.62,    -0.3436, -0.3153, 00.7749,    
 0016.946548, 000393,  0.020, _,    0083, 0174, -035,    0084.70, 0171.78, -035.72,    -0.3410, -0.3172, 00.7743,    
 0016.966553, 000393,  0.020, _,    0084, 0170, -036,    0084.53, 0171.70, -035.47,    -0.3401, -0.3168, 00.7757,    
 0016.986557, 000403,  0.020, _,    0092, 0171, -040,    0086.05, 0171.25, -036.53,    -0.3486, -0.3142, 00.7697,    
 0017.006561, 000409,  0.020, _,    0086, 0170, -039,    0086.34, 0171.17, -037.09,    -0.3502, -0.3138, 00.7665,    
 0017.026550, 000396,  0.020, _,    0092, 0171, -040,    0087.25, 0170.97, -037.78,    -0.3553, -0.3127, 00.7626,    
