 timestamp,   dur,     perc,  X,    rGx1,   rGy1,   rGz1,      
 0001.535156, 000976,  0.976, _,    -00042, 000069, -00033,    
 0001.536133, 000975,  0.975, _,    -00043, 000071, -00036,    
 0001.537109, 000976,  0.976, _,    -00044, 000081, -00037,    
 0001.538086, 000975,  0.975, _,    -00041, 000089, -00036,    
 0001.539062, 000976,  0.976, _,    -00040, 000087, -00037,    
 0001.540039, 000975,  0.975, _,    -00037, 000081, -00038,    
 0001.541016, 000978,  0.978, _,    -00033, 000082, -00034,    
 0001.541992, 000975,  0.975, _,    -00037, 000080, -00031,    
 0001.542969, 000975,  0.975, _,    -00036, 000079, -00030,    
 0001.543945, 000976,  0.976, _,    -00031, 000075, -00029,    
 0001.544922, 000974,  0.974, _,    -00030, 000072, -00031,    
 0001.545898, 000975,  0.975, _,    -00033, 000073, -00033,    
 0001.547363, 000975,  0.975, _,    -00036, 000080, -00039,    
 0001.548340, 000976,  0.976, _,    -00039, 000082, -00041,    
 0001.549316, 000988,  0.988, _,    -00041, 000075, -00038,    
 0001.550293, 000978,  0.978, _,    -00042, 000074, -00033,    
 0001.551270, 000974,  0.974, _,    -00041, 000077, -00031,    
 0001.552246, 000974,  0.974, _,    -00040, 000075, -00033,    
 0001.553223, 000978,  0.978, _,    -00036, 000071, -00037,    
 0001.554199, 000976,  0.976, _,    -00036, 000073, -00040,    
 0001.555176, 000975,  0.975, _,    -00040, 000074, -00040,    
 0001.556152, 000974,  0.974, _,    -00040, 000078, -00040,    
 0001.557129, 000974,  0.974, _,    -00037, 000080, -00040,    
 0001.558105, 000974,  0.974, _,    -00035, 000075, -00036,    
 0001.559082, 000977,  0.977, _,    -00034, 000071, -00028,    
 0001.560059, 000976,  0.976, _,    -00034, 000071, -00027,    
 0001.561035, 000975,  0.975, _,    -00033, 000075, -00033,    
 0001.562012, 000975,  0.975, _,    -00034, 000077, -00037,    
 0001.562988, 000974,  0.974, _,    -00034, 000078, -00033,    
 0001.563965, 000975,  0.975, _,    -00035, 000075, -00027,    
 0001.564941, 000974,  0.974, _,    -00034, 000073, -00031,    
 0001.566406, 000975,  0.975, _,    -00035, 000075, -00037,    
 0001.567383, 000974,  0.974, _,    -00037, 000075, -00036,    
 0001.568359, 000975,  0.975, _,    -00037, 000073, -00033,    
 0001.569336, 000977,  0.977, _,    -00037, 000076, -00034,    
 0001.570312, 000977,  0.977, _,    -00036, 000079, -00037,    
