 time, start,  dur,     perc,  X,    rMx1, rMy1, rMz1,    rAx1,   rAy1,   rAz1,      rGx1,   rGy1,   rGz1,      
 8825, 045130, 002951,  2.951, X,    0094, 0155, -026,    -00242, -00019, 008347,    -00033, 000073, -00036,    
 8825, 048109, 002956,  2.956, X,    0094, 0155, -026,    -00204, -00039, 008394,    -00033, 000076, -00039,    
 8825, 051093, 002952,  2.952, X,    0094, 0155, -026,    -00193, 000011, 008379,    -00041, 000077, -00037,    
 8825, 054073, 002952,  2.952, X,    0090, 0153, -030,    -00201, -00011, 008365,    -00030, 000080, -00038,    
 8825, 057053, 002966,  2.966, X,    0090, 0153, -030,    -00174, -00038, 008410,    -00035, 000079, -00031,    
 8825, 060047, 002954,  2.954, X,    0090, 0153, -030,    -00218, -00020, 008323,    -00033, 000080, -00031,    
 8825, 063030, 002951,  2.951, X,    0093, 0156, -022,    -00213, -00029, 008384,    -00037, 000079, -00030,    
 8825, 066009, 002951,  2.951, X,    0093, 0156, -022,    -00194, -00024, 008415,    -00035, 000076, -00034,    
 8825, 068988, 002955,  2.955, X,    0093, 0156, -022,    -00189, -00032, 008376,    -00040, 000074, -00036,    
 8825, 071971, 002954,  2.954, X,    0093, 0156, -029,    -00238, -00016, 008389,    -00030, 000073, -00029,    
 8825, 074953, 002952,  2.952, X,    0093, 0156, -029,    -00206, 000021, 008416,    -00041, 000077, -00033,    
 8825, 077933, 002952,  2.952, X,    0093, 0156, -029,    -00217, -00004, 008402,    -00035, 000077, -00027,    
 8825, 080914, 002951,  2.951, X,    0093, 0156, -029,    -00247, -00028, 008355,    -00028, 000073, -00032,    
 8825, 083893, 002956,  2.956, X,    0089, 0156, -027,    -00237, -00012, 008373,    -00042, 000076, -00033,    
 8825, 086877, 002957,  2.957, X,    0089, 0156, -027,    -00247, -00011, 008385,    -00035, 000075, -00036,    
 8825, 089862, 002962,  2.962, X,    0089, 0156, -027,    -00196, 000019, 008407,    -00038, 000076, -00031,    
 8825, 092852, 002950,  2.950, X,    0090, 0160, -023,    -00207, 000005, 008426,    -00031, 000070, -00031,    
 8825, 095830, 002950,  2.950, X,    0090, 0160, -023,    -00209, -00052, 008369,    -00035, 000076, -00031,    
 8825, 098809, 002952,  2.952, X,    0090, 0160, -023,    -00200, -00036, 008431,    -00036, 000075, -00035,    
 8825, 101790, 002952,  2.952, X,    0093, 0149, -024,    -00171, -00002, 008382,    -00043, 000080, -00038,    
 8825, 104770, 002953,  2.953, X,    0093, 0149, -024,    -00210, -00020, 008384,    -00035, 000079, -00030,    
 8825, 107751, 002953,  2.953, X,    0093, 0149, -024,    -00229, -00029, 008373,    -00036, 000080, -00035,    
 8825, 110732, 002952,  2.952, X,    0093, 0149, -024,    -00226, -00024, 008348,    -00027, 000083, -00041,    
 8825, 113713, 002952,  2.952, X,    0094, 0162, -021,    -00214, -00007, 008433,    -00039, 000074, -00035,    
 8825, 116692, 002950,  2.950, X,    0094, 0162, -021,    -00215, -00016, 008386,    -00037, 000079, -00024,    
 8825, 119729, 002983,  2.983, X,    0094, 0162, -021,    -00172, -00040, 008356,    -00035, 000080, -00032,    
 8825, 122743, 002954,  2.954, X,    0091, 0156, -029,    -00222, -00003, 008340,    -00038, 000074, -00036,    
 8825, 125726, 002955,  2.955, X,    0091, 0156, -029,    -00192, -00056, 008417,    -00033, 000080, -00034,    
 8825, 128709, 002956,  2.956, X,    0091, 0156, -029,    -00227, -00011, 008427,    -00035, 000077, -00032,    
 8825, 131693, 002953,  2.953, X,    0098, 0152, -024,    -00219, 000016, 008333,    -00039, 000081, -00030,    
 8825, 134675, 002951,  2.951, X,    0098, 0152, -024,    -00188, -00019, 008384,    -00033, 000076, -00031,    
 8825, 137655, 002952,  2.952, X,    0098, 0152, -024,    -00210, -00025, 008316,    -00039, 000079, -00033,    
 8825, 140635, 002956,  2.956, X,    0098, 0152, -024,    -00230, -00041, 008403,    -00037, 000078, -00039,    
 8825, 143619, 002952,  2.952, X,    0090, 0162, -023,    -00195, -00050, 008381,    -00038, 000074, -00039,    
 8825, 146599, 002953,  2.953, X,    0090, 0162, -023,    -00184, -00023, 008420,    -00036, 000072, -00029,    
 8825, 149580, 002954,  2.954, X,    0090, 0162, -023,    -00186, 000007, 008380,    -00022, 000075, -00029,    
 8825, 152562, 002953,  2.953, X,    0099, 0153, -028,    -00206, -00024, 008408,    -00040, 000079, -00032,    
 8825, 155543, 002951,  2.951, X,    0099, 0153, -028,    -00214, -00061, 008310,    -00035, 000078, -00041,    
 8825, 158522, 002955,  2.955, X,    0099, 0153, -028,    -00243, -00023, 008403,    -00032, 000077, -00031,    
 8825, 161505, 002952,  2.952, X,    0089, 0152, -027,    -00216, -00025, 008387,    -00035, 000075, -00030,    
 8825, 164485, 002952,  2.952, X,    0089, 0152, -027,    -00176, -00014, 008387,    -00042, 000079, -00034,    
 8825, 167465, 002953,  2.953, X,    0089, 0152, -027,    -00187, -00021, 008352,    -00039, 000079, -00031,    
 8825, 170446, 002953,  2.953, X,    0089, 0152, -027,    -00243, -00006, 008447,    -00035, 000079, -00025,    
