 time, start,  dur,     perc,  X,    rMx1, rMy1, rMz1,    
 7179, 420754, 001160,  1.160, X,    0085, 0155, -021,    
 7179, 421935, 001157,  1.157, X,    0085, 0155, -021,    
 7179, 423112, 001156,  1.156, X,    0085, 0155, -021,    
 7179, 424338, 001173,  1.173, X,    0097, 0157, -028,    
 7179, 425533, 001161,  1.161, X,    0097, 0157, -028,    
 7179, 426715, 001161,  1.161, X,    0097, 0157, -028,    
 7179, 427897, 001160,  1.160, X,    0097, 0157, -028,    
 7179, 429078, 001160,  1.160, X,    0097, 0157, -028,    
 7179, 430260, 001160,  1.160, X,    0097, 0157, -028,    
 7179, 431441, 001156,  1.156, X,    0097, 0157, -028,    
 7179, 432618, 001157,  1.157, X,    0097, 0157, -028,    
 7179, 433796, 001157,  1.157, X,    0093, 0154, -029,    
 7179, 434974, 001158,  1.158, X,    0093, 0154, -029,    
 7179, 436153, 001163,  1.163, X,    0093, 0154, -029,    
 7179, 437338, 001158,  1.158, X,    0093, 0154, -029,    
 7179, 438516, 001157,  1.157, X,    0093, 0154, -029,    
 7179, 439693, 001160,  1.160, X,    0093, 0154, -029,    
 7179, 440875, 001160,  1.160, X,    0093, 0154, -029,    
 7179, 442055, 001158,  1.158, X,    0093, 0154, -029,    
 7179, 443234, 001158,  1.158, X,    0093, 0154, -029,    
 7179, 444413, 001158,  1.158, X,    0091, 0161, -024,    
 7179, 445591, 001158,  1.158, X,    0091, 0161, -024,    
 7179, 446769, 001159,  1.159, X,    0091, 0161, -024,    
 7179, 447948, 001156,  1.156, X,    0091, 0161, -024,    
 7179, 449125, 001159,  1.159, X,    0091, 0161, -024,    
 7179, 450306, 001160,  1.160, X,    0091, 0161, -024,    
 7179, 451487, 001158,  1.158, X,    0091, 0161, -024,    
 7179, 452666, 001157,  1.157, X,    0091, 0161, -024,    
 7179, 453843, 001156,  1.156, X,    0093, 0154, -022,    
 7179, 455020, 001157,  1.157, X,    0093, 0154, -022,    
 7179, 456198, 001159,  1.159, X,    0093, 0154, -022,    
 7179, 457378, 001158,  1.158, X,    0093, 0154, -022,    
 7179, 458556, 001157,  1.157, X,    0093, 0154, -022,    
 7179, 459733, 001160,  1.160, X,    0093, 0154, -022,    
 7179, 460914, 001163,  1.163, X,    0093, 0154, -022,    
 7179, 462097, 001158,  1.158, X,    0093, 0154, -022,    
 7179, 463276, 001157,  1.157, X,    0093, 0154, -022,    
 7179, 464454, 001156,  1.156, X,    0085, 0153, -023,    
 7179, 465631, 001158,  1.158, X,    0085, 0153, -023,    
 7179, 466809, 001158,  1.158, X,    0085, 0153, -023,    
 7179, 467988, 001157,  1.157, X,    0085, 0153, -023,    
 7179, 469166, 001165,  1.165, X,    0085, 0153, -023,    
 7179, 470353, 001157,  1.157, X,    0085, 0153, -023,    
 7179, 471531, 001159,  1.159, X,    0085, 0153, -023,    
 7179, 472710, 001157,  1.157, X,    0085, 0153, -023,    
 7179, 473888, 001156,  1.156, X,    0094, 0157, -021,    
 7179, 475065, 001157,  1.157, X,    0094, 0157, -021,    
 7179, 476243, 001158,  1.158, X,    0094, 0157, -021,    
 7179, 477421, 001157,  1.157, X,    0094, 0157, -021,    
 7179, 478598, 001158,  1.158, X,    0094, 0157, -021,    
 7179, 479775, 001160,  1.160, X,    0094, 0157, -021,    
 7179, 480956, 001158,  1.158, X,    0094, 0157, -021,    
 7179, 482135, 001157,  1.157, X,    0094, 0157, -021,    
 7179, 483312, 001157,  1.157, X,    0094, 0157, -021,    
 7179, 484490, 001157,  1.157, X,    0091, 0149, -027,    
 7179, 485667, 001160,  1.160, X,    0091, 0149, -027,    
 7179, 486847, 001158,  1.158, X,    0091, 0149, -027,    
 7179, 488026, 001155,  1.155, X,    0091, 0149, -027,    
 7179, 489201, 001159,  1.159, X,    0091, 0149, -027,    
 7179, 490381, 001158,  1.158, X,    0091, 0149, -027,    
 7179, 491560, 001157,  1.157, X,    0091, 0149, -027,    
 7179, 492738, 001158,  1.158, X,    0091, 0149, -027,    
 7179, 493916, 001162,  1.162, X,    0088, 0162, -026,    
 7179, 495099, 001156,  1.156, X,    0088, 0162, -026,    
 7179, 496277, 001159,  1.159, X,    0088, 0162, -026,    
 7179, 497456, 001158,  1.158, X,    0088, 0162, -026,    
 7179, 498635, 001156,  1.156, X,    0088, 0162, -026,    
 7179, 499810, 001159,  1.159, X,    0088, 0162, -026,    
 7179, 500990, 001156,  1.156, X,    0088, 0162, -026,    
 7179, 502168, 001163,  1.163, X,    0088, 0162, -026,    
 7179, 503352, 001158,  1.158, X,    0088, 0162, -026,    
 7179, 504531, 001157,  1.157, X,    0091, 0154, -029,    
 7179, 505758, 001170,  1.170, X,    0091, 0154, -029,    
 7179, 506950, 001159,  1.159, X,    0091, 0154, -029,    
