 time,    start,     dur,        perc,  X,    
 004.370, 030845337, 000001459,  0.000, _,    
 004.380, 040843837, 000001750,  0.000, _,    
 004.390, 050844337, 000001167,  0.000, _,    
 004.400, 060844712, 000001167,  0.000, _,    
 004.410, 070845129, 000000958,  0.000, _,    
 004.420, 080844837, 000001167,  0.000, _,    
 004.430, 090843962, 000001209,  0.000, _,    
 004.440, 100844421, 000000958,  0.000, _,    
 004.450, 110844129, 000001000,  0.000, _,    
 004.460, 120845837, 000001625,  0.000, _,    
 004.470, 130844462, 000001209,  0.000, _,    
 004.480, 140843546, 000001208,  0.000, _,    
 004.490, 150844754, 000001667,  0.000, _,    
 004.500, 160844004, 000000958,  0.000, _,    
 004.510, 170845296, 000001625,  0.000, _,    
 004.520, 180844671, 000001208,  0.000, _,    
 004.530, 190844921, 000000958,  0.000, _,    
 004.540, 200844587, 000000959,  0.000, _,    
 004.550, 210843546, 000001208,  0.000, _,    
 004.560, 220844421, 000001666,  0.000, _,    
 004.570, 230845171, 000001166,  0.000, _,    
 004.580, 240844504, 000001167,  0.000, _,    
 004.590, 250843629, 000001000,  0.000, _,    
 004.600, 260843962, 000000917,  0.000, _,    
 004.610, 270843671, 000001458,  0.000, _,    
 004.620, 280843796, 000001458,  0.000, _,    
 004.630, 290845212, 000001250,  0.000, _,    
 004.640, 300844671, 000001000,  0.000, _,    
 004.650, 310844421, 000001416,  0.000, _,    
 004.660, 320843504, 000001417,  0.000, _,    
 004.670, 330843504, 000001208,  0.000, _,    
 004.680, 340844046, 000001000,  0.000, _,    
 004.690, 350844587, 000001250,  0.000, _,    
 004.700, 360844962, 000001167,  0.000, _,    
 004.710, 370844171, 000001208,  0.000, _,    
 004.720, 380843962, 000001417,  0.000, _,    
 004.730, 390844004, 000000958,  0.000, _,    
 004.740, 400844546, 000001416,  0.000, _,    
 004.750, 410843962, 000000959,  0.000, _,    
 004.760, 420844712, 000000959,  0.000, _,    
 004.770, 430844212, 000001667,  0.000, _,    
 004.780, 440844754, 000000917,  0.000, _,    
 004.790, 450844046, 000001208,  0.000, _,    
 004.800, 460844962, 000001459,  0.000, _,    
 004.810, 470843337, 000001209,  0.000, _,    
 004.820, 480848254, 000001167,  0.000, _,    
 004.830, 490843754, 000001417,  0.000, _,    
 004.840, 500844379, 000001625,  0.000, _,    
 004.850, 510844254, 000001625,  0.000, _,    
 004.860, 520843921, 000001458,  0.000, _,    
 004.870, 530845212, 000001209,  0.000, _,    
 004.880, 540844296, 000001166,  0.000, _,    
 004.890, 550843879, 000001208,  0.000, _,    
 004.900, 560844671, 000000958,  0.000, _,    
 004.910, 570845129, 000001250,  0.000, _,    
 004.920, 580844087, 000001750,  0.000, _,    
 004.930, 590844712, 000001209,  0.000, _,    
 004.940, 600843837, 000001459,  0.000, _,    
 004.950, 610844671, 000001250,  0.000, _,    
 004.960, 620844337, 000001250,  0.000, _,    
 004.970, 630844671, 000000958,  0.000, _,    
 004.980, 640844837, 000001000,  0.000, _,    
 004.990, 650846587, 000000959,  0.000, _,    
 005.000, 660844504, 000001208,  0.000, _,    
 005.010, 670844962, 000001209,  0.000, _,    
 005.020, 680845087, 000001209,  0.000, _,    
 005.030, 690844712, 000001000,  0.000, _,    
 005.040, 700845379, 000001042,  0.000, _,    
 005.050, 710845712, 000001000,  0.000, _,    
 005.060, 720843921, 000001458,  0.000, _,    
 005.070, 730845087, 000001459,  0.000, _,    
 005.080, 740845337, 000001459,  0.000, _,    
 005.090, 750843921, 000001208,  0.000, _,    
 005.100, 760845004, 000001625,  0.000, _,    
 005.110, 770845462, 000001167,  0.000, _,    
 005.120, 780844212, 000001792,  0.000, _,    
 005.130, 790844254, 000001250,  0.000, _,    
 005.140, 800844671, 000001166,  0.000, _,    
 005.150, 810844337, 000001209,  0.000, _,    
 005.160, 820844379, 000001208,  0.000, _,    
 005.170, 830844004, 000000958,  0.000, _,    
 005.180, 840843337, 000001209,  0.000, _,    
 005.190, 850843462, 000001417,  0.000, _,    
 005.200, 860844546, 000001208,  0.000, _,    
 005.210, 870844462, 000001000,  0.000, _,    
 005.220, 880853837, 000001667,  0.000, _,    
 005.230, 890851212, 000002625,  0.000, _,    
 005.240, 900845296, 000001500,  0.000, _,    
 005.250, 910845004, 000001250,  0.000, _,    
 005.260, 920844921, 000001000,  0.000, _,    
 005.270, 930845754, 000001250,  0.000, _,    
 005.280, 940844546, 000002000,  0.000, _,    
 005.290, 950844004, 000001208,  0.000, _,    
 005.300, 960844421, 000001250,  0.000, _,    
 005.310, 970844254, 000001250,  0.000, _,    
 005.320, 980845879, 000000958,  0.000, _,    
 005.330, 990845212, 000001459,  0.000, _,    
 005.340, 000844671, 000001208,  0.000, _,    
 005.350, 010845421, 000000958,  0.000, _,    
 005.360, 020844754, 000001417,  0.000, _,    
 005.370, 030844921, 000000916,  0.000, _,    
