 Gtime,       Gdur,    Gperc, G,        Grx1,   Gry1,   Grz1,           Gax1,   Gay1,   Gaz1        
 0002.965927, 000993,  0.099, _,    -00041, 000085, -00039,    -00037.19, 000079.56, -00037.67,    
 0002.975922, 000996,  0.100, _,    -00035, 000077, -00044,    -00036.73, 000079.44, -00039.30,    
 0002.985916, 000992,  0.099, _,    -00032, 000072, -00032,    -00035.75, 000077.55, -00037.86,    
 0002.995926, 000989,  0.099, _,    -00038, 000081, -00040,    -00036.09, 000078.25, -00038.00,    
 0003.005920, 000989,  0.099, _,    -00041, 000072, -00037,    -00037.17, 000077.08, -00038.11,    
 0003.015930, 000988,  0.099, _,    -00040, 000081, -00033,    -00037.83, 000077.56, -00036.80,    
 0003.025925, 000994,  0.099, _,    -00034, 000072, -00035,    -00037.06, 000076.88, -00036.45,    
 0003.035919, 000989,  0.099, _,    -00033, 000075, -00030,    -00036.03, 000075.97, -00035.03,    
 0003.045929, 000990,  0.099, _,    -00035, 000076, -00035,    -00035.92, 000076.33, -00034.77,    
 0003.055923, 000987,  0.099, _,    -00036, 000081, -00032,    -00035.88, 000076.91, -00034.34,    
 0003.065933, 000990,  0.099, _,    -00033, 000075, -00037,    -00035.34, 000076.91, -00034.55,    
 0003.075928, 000988,  0.099, _,    -00037, 000072, -00033,    -00035.50, 000075.45, -00034.50,    
 0003.085922, 000989,  0.099, _,    -00037, 000074, -00037,    -00035.95, 000075.23, -00034.70,    
 0003.095917, 000988,  0.099, _,    -00036, 000079, -00032,    -00035.89, 000075.78, -00034.36,    
 0003.105927, 000988,  0.099, _,    -00041, 000080, -00040,    -00037.02, 000076.98, -00035.14,    
 0003.115921, 000988,  0.099, _,    -00035, 000075, -00040,    -00036.72, 000076.44, -00036.61,    
 0003.125916, 000991,  0.099, _,    -00037, 000068, -00033,    -00036.55, 000074.75, -00035.62,    
 0003.135925, 000988,  0.099, _,    -00036, 000075, -00035,    -00036.58, 000074.47, -00035.59,    
 0003.145920, 000988,  0.099, _,    -00032, 000078, -00037,    -00035.52, 000075.45, -00035.83,    
 0003.155930, 000986,  0.099, _,    -00034, 000064, -00041,    -00035.19, 000073.05, -00037.06,    
 0003.165924, 001003,  0.100, _,    -00027, 000067, -00033,    -00033.52, 000071.36, -00036.38,    
 0003.175919, 000992,  0.099, _,    -00036, 000080, -00033,    -00033.69, 000073.12, -00035.47,    
 0003.185928, 000989,  0.099, _,    -00032, 000075, -00034,    -00033.69, 000073.77, -00035.25,    
 0003.195923, 000989,  0.099, _,    -00036, 000077, -00026,    -00033.78, 000074.28, -00033.30,    
 0003.205917, 000989,  0.099, _,    -00036, 000075, -00044,    -00034.53, 000074.61, -00035.16,    
 0003.215927, 000990,  0.099, _,    -00037, 000077, -00031,    -00034.81, 000074.91, -00034.92,    
 0003.225922, 000991,  0.099, _,    -00033, 000075, -00036,    -00034.64, 000075.14, -00034.45,    
 0003.235931, 000990,  0.099, _,    -00040, 000074, -00035,    -00035.42, 000074.70, -00035.08,    
 0003.245926, 000989,  0.099, _,    -00037, 000083, -00039,    -00036.17, 000076.52, -00035.45,    
 0003.255920, 000986,  0.099, _,    -00028, 000079, -00034,    -00034.22, 000077.34, -00035.66,    
 0003.265930, 000988,  0.099, _,    -00038, 000079, -00045,    -00034.95, 000077.61, -00037.06,    
 0003.275925, 000988,  0.099, _,    -00029, 000073, -00035,    -00033.97, 000076.94, -00037.34,    
 0003.285919, 000987,  0.099, _,    -00036, 000076, -00036,    -00034.06, 000076.58, -00036.45,    
 0003.295929, 000988,  0.099, _,    -00032, 000073, -00037,    -00034.03, 000076.03, -00037.14,    
 0003.305923, 000986,  0.099, _,    -00038, 000075, -00029,    -00034.42, 000075.52, -00035.11,    
 0003.315918, 000986,  0.099, _,    -00036, 000075, -00035,    -00035.23, 000075.59, -00035.19,    
 0003.325928, 000988,  0.099, _,    -00039, 000073, -00038,    -00035.66, 000074.89, -00035.69,    
 0003.335922, 000987,  0.099, _,    -00042, 000069, -00034,    -00037.33, 000073.75, -00035.47,    
 0003.345917, 000987,  0.099, _,    -00036, 000079, -00039,    -00037.00, 000074.50, -00036.06,    
 0003.355927, 000987,  0.099, _,    -00043, 000078, -00035,    -00038.25, 000075.62, -00036.09,    
 0003.365921, 000987,  0.099, _,    -00037, 000080, -00035,    -00038.20, 000076.22, -00035.59,    
 0003.375931, 000997,  0.100, _,    -00037, 000080, -00035,    -00037.88, 000077.28, -00035.62,    
 0003.385925, 000998,  0.100, _,    -00027, 000081, -00031,    -00035.81, 000077.91, -00034.45,    
 0003.395920, 000992,  0.099, _,    -00036, 000078, -00039,    -00035.39, 000078.23, -00035.27,    
 0003.405930, 000988,  0.099, _,    -00039, 000086, -00039,    -00036.58, 000079.66, -00036.30,    
 0003.415924, 000990,  0.099, _,    -00035, 000075, -00038,    -00036.08, 000079.22, -00036.58,    
 0003.425919, 000994,  0.099, _,    -00036, 000073, -00039,    -00036.16, 000077.48, -00037.25,    
 0003.435928, 000991,  0.099, _,    -00034, 000080, -00035,    -00035.59, 000078.25, -00036.84,    
 0003.445923, 000988,  0.099, _,    -00036, 000074, -00034,    -00035.67, 000077.39, -00036.16,    
 0003.455917, 000988,  0.099, _,    -00043, 000073, -00029,    -00037.08, 000076.47, -00034.69,    
 0003.465927, 000989,  0.099, _,    -00034, 000080, -00036,    -00036.70, 000077.08, -00034.66,    
 0003.475922, 000988,  0.099, _,    -00031, 000082, -00034,    -00035.14, 000078.25, -00034.77,    
 0003.485916, 000987,  0.099, _,    -00035, 000078, -00030,    -00035.17, 000078.23, -00033.59,    
 0003.495926, 000986,  0.099, _,    -00031, 000072, -00030,    -00034.28, 000076.89, -00032.83,    
 0003.505920, 000989,  0.099, _,    -00033, 000080, -00033,    -00033.94, 000077.23, -00032.73,    
 0003.515930, 000987,  0.099, _,    -00025, 000080, -00040,    -00032.16, 000078.09, -00034.27,    
 0003.525925, 000988,  0.099, _,    -00035, 000073, -00033,    -00032.25, 000076.88, -00034.11,    
 0003.535919, 000987,  0.099, _,    -00029, 000077, -00032,    -00032.02, 000076.77, -00033.42,    
 0003.545929, 000987,  0.099, _,    -00028, 000071, -00031,    -00030.67, 000075.75, -00032.95,    
