 Mtime,       Mdur,    Mperc, M,        Mrx1, Mry1, Mrz1,         Max1, May1, Maz1,     
 0012.811111, 001177,  0.024, _,    0107, 0154, -036,    0106.00, 0154.19, -036.25,    
 0012.861115, 001172,  0.023, _,    0105, 0161, -036,    0105.89, 0155.36, -036.14,    
 0012.911118, 001166,  0.023, _,    0101, 0157, -038,    0104.77, 0156.09, -036.56,    
 0012.961105, 001166,  0.023, _,    0104, 0153, -030,    0104.50, 0155.25, -035.23,    
 0013.011108, 001167,  0.023, _,    0107, 0154, -032,    0105.05, 0155.05, -034.23,    
 0013.061111, 001166,  0.023, _,    0104, 0157, -040,    0104.81, 0155.31, -035.50,    
 0013.111115, 001166,  0.023, _,    0105, 0159, -034,    0104.75, 0156.27, -035.34,    
 0013.161118, 001165,  0.023, _,    0106, 0155, -035,    0105.11, 0156.08, -035.14,    
 0013.211105, 001180,  0.024, _,    0109, 0149, -032,    0105.86, 0154.66, -034.64,    
 0013.261108, 001168,  0.023, _,    0108, 0150, -038,    0106.50, 0153.56, -035.09,    
 0013.311111, 001167,  0.023, _,    0103, 0156, -039,    0105.75, 0154.08, -036.20,    
 0013.361115, 001167,  0.023, _,    0105, 0152, -035,    0105.47, 0153.66, -035.80,    
 0013.411118, 001167,  0.023, _,    0101, 0155, -030,    0104.62, 0153.73, -034.62,    
 0013.461105, 001166,  0.023, _,    0103, 0156, -034,    0104.08, 0154.31, -034.27,    
 0013.511108, 001167,  0.023, _,    0104, 0157, -040,    0104.19, 0154.78, -035.59,    
 0013.561111, 001166,  0.023, _,    0099, 0150, -038,    0103.05, 0153.98, -036.19,    
