 Ftime,       Fdur,      Qw1,     Qx1,     Qy1,     Qz1,        Ex1,     Ey1,     Ez1,      dEx1, dEy1, dEz1  
 0002.280029, 000032,    00.9949, 00.0493, 00.0121, -0.0873,    00.0966, 00.0320, -0.1723,    00.0253, -0.0035, -0.0012,    
 0002.290039, 000034,    00.9948, 00.0495, 00.0124, -0.0880,    00.0963, 00.0327, -0.1735,    00.0236, -0.0023, -0.0017,    
 0002.300049, 000053,    00.9948, 00.0495, 00.0120, -0.0887,    00.0964, 00.0333, -0.1749,    00.0185, -0.0046, -0.0011,    
 0002.310059, 000041,    00.9947, 00.0494, 00.0119, -0.0894,    00.0966, 00.0327, -0.1763,    00.0189, -0.0044, -0.0019,    
 0002.320068, 000033,    00.9946, 00.0493, 00.0123, -0.0901,    00.0963, 00.0326, -0.1777,    00.0193, -0.0048, -0.0013,    
 0002.330078, 000035,    00.9946, 00.0493, 00.0122, -0.0908,    00.0960, 00.0333, -0.1790,    00.0183, -0.0061, -0.0013,    
 0002.340088, 000038,    00.9945, 00.0492, 00.0120, -0.0915,    00.0960, 00.0332, -0.1805,    00.0147, -0.0068, -0.0023,    
 0002.350098, 000032,    00.9944, 00.0493, 00.0122, -0.0922,    00.0959, 00.0329, -0.1820,    00.0135, -0.0059, -0.0017,    
 0002.359863, 000017,    00.9944, 00.0490, 00.0121, -0.0929,    00.0959, 00.0334, -0.1834,    00.0113, -0.0048, -0.0028,    
 0002.369873, 000038,    00.9944, 00.0486, 00.0121, -0.0935,    00.0954, 00.0332, -0.1848,    00.0112, -0.0076, -0.0021,    
 0002.379883, 000033,    00.9943, 00.0483, 00.0121, -0.0942,    00.0945, 00.0332, -0.1860,    00.0125, -0.0065, -0.0004,    
 0002.389893, 000031,    00.9943, 00.0479, 00.0122, -0.0948,    00.0940, 00.0332, -0.1874,    00.0148, -0.0068, -0.0011,    
 0002.400146, 000043,    00.9942, 00.0476, 00.0122, -0.0954,    00.0931, 00.0333, -0.1885,    00.0182, -0.0047, -0.0032,    
 0002.409912, 000043,    00.9942, 00.0474, 00.0122, -0.0961,    00.0926, 00.0333, -0.1899,    00.0234, -0.0040, -0.0021,    
 0002.419922, 000033,    00.9941, 00.0474, 00.0120, -0.0968,    00.0921, 00.0333, -0.1912,    00.0256, -0.0042, -0.0025,    
 0002.429932, 000018,    00.9940, 00.0472, 00.0119, -0.0975,    00.0920, 00.0330, -0.1927,    00.0192, -0.0046, -0.0027,    
 0002.439941, 000035,    00.9940, 00.0471, 00.0119, -0.0983,    00.0917, 00.0329, -0.1941,    00.0180, -0.0044, -0.0017,    
 0002.449951, 000032,    00.9939, 00.0472, 00.0118, -0.0990,    00.0914, 00.0328, -0.1956,    00.0207, -0.0041, -0.0005,    
 0002.459961, 000018,    00.9938, 00.0471, 00.0117, -0.0997,    00.0916, 00.0327, -0.1971,    00.0246, -0.0036, -0.0008,    
 0002.469971, 000032,    00.9938, 00.0471, 00.0118, -0.1005,    00.0915, 00.0326, -0.1986,    00.0169, -0.0056, -0.0002,    
 0002.479980, 000040,    00.9937, 00.0470, 00.0118, -0.1012,    00.0915, 00.0329, -0.2000,    00.0091, -0.0062, -0.0029,    
 0002.489990, 000018,    00.9936, 00.0471, 00.0120, -0.1019,    00.0912, 00.0329, -0.2015,    00.0093, -0.0068, -0.0034,    
 0002.500000, 000028,    00.9935, 00.0470, 00.0123, -0.1025,    00.0914, 00.0335, -0.2029,    00.0144, -0.0066, -0.0035,    
 0002.510010, 000042,    00.9935, 00.0470, 00.0120, -0.1033,    00.0910, 00.0341, -0.2041,    00.0177, -0.0057, -0.0035,    
 0002.520020, 000038,    00.9934, 00.0471, 00.0121, -0.1040,    00.0912, 00.0336, -0.2056,    00.0221, -0.0046, -0.0038,    
 0002.530029, 000038,    00.9933, 00.0470, 00.0123, -0.1047,    00.0912, 00.0339, -0.2071,    00.0212, -0.0045, -0.0027,    
 0002.540039, 000031,    00.9933, 00.0467, 00.0123, -0.1053,    00.0910, 00.0344, -0.2084,    00.0180, -0.0040, -0.0030,    
 0002.550049, 000037,    00.9932, 00.0467, 00.0122, -0.1061,    00.0904, 00.0342, -0.2098,    00.0180, -0.0056, -0.0034,    
 0002.560059, 000033,    00.9931, 00.0465, 00.0124, -0.1068,    00.0903, 00.0342, -0.2113,    00.0240, -0.0038, -0.0046,    
 0002.570068, 000017,    00.9931, 00.0460, 00.0123, -0.1073,    00.0898, 00.0345, -0.2127,    00.0271, -0.0030, -0.0033,    
 0002.580078, 000035,    00.9930, 00.0457, 00.0123, -0.1079,    00.0889, 00.0343, -0.2137,    00.0233, -0.0051, -0.0027,    
 0002.590088, 000035,    00.9930, 00.0452, 00.0122, -0.1084,    00.0883, 00.0343, -0.2149,    00.0244, -0.0026, -0.0041,    
