 Mtime,       Mdur,      Mrx1, Mry1, Mrz1,    Max1,    May1,    Maz1,       Mcx1,    Mcy1,    Mcz1,   
 0001.786011, 000914,    0061, 0188, -041,    0061.00, 0188.00, -041.00,    -0.2079, -0.4078, 00.7443,    
 0001.795959, 000915,    0061, 0200, -039,    0061.00, 0200.00, -039.00,    -0.2079, -0.4749, 00.7557,    
 0001.805969, 000913,    0065, 0190, -040,    0065.00, 0190.00, -040.00,    -0.2303, -0.4190, 00.7500,    
 0001.815979, 000919,    0060, 0199, -038,    0060.00, 0199.00, -038.00,    -0.2022, -0.4693, 00.7614,    
 0001.825989, 000913,    0062, 0192, -040,    0062.00, 0192.00, -040.00,    -0.2135, -0.4302, 00.7500,    
 0001.835999, 000907,    0064, 0193, -039,    0064.00, 0193.00, -039.00,    -0.2247, -0.4358, 00.7557,    
 0001.846008, 000909,    0066, 0195, -041,    0066.00, 0195.00, -041.00,    -0.2360, -0.4469, 00.7443,    
 0001.855957, 000917,    0065, 0187, -042,    0065.00, 0187.00, -042.00,    -0.2303, -0.4022, 00.7386,    
 0001.865967, 000912,    0066, 0191, -036,    0066.00, 0191.00, -036.00,    -0.2360, -0.4246, 00.7727,    
 0001.875977, 000918,    0060, 0194, -038,    0060.00, 0194.00, -038.00,    -0.2022, -0.4413, 00.7614,    
 0001.885986, 000916,    0059, 0191, -039,    0059.00, 0191.00, -039.00,    -0.1966, -0.4246, 00.7557,    
 0001.895996, 000914,    0061, 0195, -044,    0061.00, 0195.00, -044.00,    -0.2079, -0.4469, 00.7273,    
 0001.906006, 000917,    0065, 0192, -038,    0065.00, 0192.00, -038.00,    -0.2303, -0.4302, 00.7614,    
 0001.915955, 000915,    0060, 0194, -042,    0060.00, 0194.00, -042.00,    -0.2022, -0.4413, 00.7386,    
 0001.925964, 000914,    0061, 0198, -039,    0061.00, 0198.00, -039.00,    -0.2079, -0.4637, 00.7557,    
 0001.935974, 000912,    0064, 0193, -039,    0064.00, 0193.00, -039.00,    -0.2247, -0.4358, 00.7557,    
 0001.945984, 000914,    0061, 0191, -039,    0061.00, 0191.00, -039.00,    -0.2079, -0.4246, 00.7557,    
 0001.955994, 000919,    0060, 0190, -038,    0060.00, 0190.00, -038.00,    -0.2022, -0.4190, 00.7614,    
 0001.966003, 000913,    0062, 0194, -050,    0062.00, 0194.00, -050.00,    -0.2135, -0.4413, 00.6932,    
 0001.975952, 000913,    0057, 0191, -034,    0057.00, 0191.00, -034.00,    -0.1854, -0.4246, 00.7841,    
 0001.985962, 000913,    0064, 0195, -036,    0064.00, 0195.00, -036.00,    -0.2247, -0.4469, 00.7727,    
 0001.995972, 000915,    0061, 0193, -044,    0061.00, 0193.00, -044.00,    -0.2079, -0.4358, 00.7273,    
 0002.005981, 000913,    0060, 0192, -042,    0060.00, 0192.00, -042.00,    -0.2022, -0.4302, 00.7386,    
 0002.015991, 000912,    0061, 0191, -044,    0061.00, 0191.00, -044.00,    -0.2079, -0.4246, 00.7273,    
 0002.026001, 000916,    0060, 0197, -035,    0060.00, 0197.00, -035.00,    -0.2022, -0.4581, 00.7784,    
 0002.036011, 000918,    0064, 0200, -041,    0064.00, 0200.00, -041.00,    -0.2247, -0.4749, 00.7443,    
 0002.045959, 000913,    0057, 0198, -044,    0057.00, 0198.00, -044.00,    -0.1854, -0.4637, 00.7273,    
 0002.055969, 001027,    0062, 0194, -040,    0062.00, 0194.00, -040.00,    -0.2135, -0.4413, 00.7500,    
 0002.065979, 000912,    0064, 0198, -041,    0064.00, 0198.00, -041.00,    -0.2247, -0.4637, 00.7443,    
 0002.075989, 000913,    0062, 0197, -047,    0062.00, 0197.00, -047.00,    -0.2135, -0.4581, 00.7102,    
